Date,Price,Change %
8/2/2021,84.8,0.65%
7/30/2021,84.25,-0.25%
7/29/2021,84.46,0.05%
7/28/2021,84.42,-0.45%
7/27/2021,84.8,0.00%
7/26/2021,84.8,0.78%
7/23/2021,84.14,-0.57%
7/22/2021,84.62,-0.20%
7/19/2021,84.79,-0.01%
7/15/2021,84.8,0.00%
7/14/2021,84.8,0.00%
7/13/2021,84.8,0.34%
7/12/2021,84.51,0.46%
7/9/2021,84.12,-0.60%
7/8/2021,84.63,0.00%
7/7/2021,84.63,0.25%
7/6/2021,84.42,-0.25%
7/5/2021,84.63,0.34%
7/2/2021,84.34,-0.07%
7/1/2021,84.4,-0.20%
6/30/2021,84.57,-0.07%
6/29/2021,84.63,0.23%
6/28/2021,84.44,0.29%
6/25/2021,84.2,-0.37%
6/24/2021,84.51,0.18%
6/23/2021,84.36,-0.04%
6/22/2021,84.39,-0.14%
6/21/2021,84.51,0.07%
6/18/2021,84.45,-0.20%
6/17/2021,84.62,-0.01%
6/16/2021,84.63,0.01%
6/15/2021,84.62,0.27%
6/14/2021,84.39,0.06%
6/11/2021,84.34,-0.54%
6/10/2021,84.8,0.34%
6/9/2021,84.51,0.07%
6/8/2021,84.45,0.20%
6/7/2021,84.28,0.32%
6/4/2021,84.01,-0.45%
6/3/2021,84.39,-0.27%
6/2/2021,84.62,0.26%
6/1/2021,84.4,-0.17%
5/31/2021,84.54,0.31%
5/28/2021,84.28,-0.40%
5/27/2021,84.62,0.46%
5/26/2021,84.23,-0.33%
5/25/2021,84.51,0.14%
5/24/2021,84.39,0.14%
5/21/2021,84.27,-0.41%
5/20/2021,84.62,0.00%
5/19/2021,84.62,0.13%
5/18/2021,84.51,0.00%
5/17/2021,84.51,0.54%
5/14/2021,84.06,-0.46%
5/13/2021,84.45,-0.20%
5/12/2021,84.62,0.27%
5/11/2021,84.39,-0.07%
5/10/2021,84.45,0.20%
5/7/2021,84.28,-0.40%
5/6/2021,84.62,0.39%
5/5/2021,84.29,-0.39%
5/4/2021,84.62,0.00%
5/3/2021,84.62,0.40%
4/30/2021,84.28,-0.40%
4/29/2021,84.62,0.00%
4/28/2021,84.62,0.00%
4/27/2021,84.62,0.00%
4/26/2021,84.62,0.53%
4/23/2021,84.17,-0.40%
4/22/2021,84.51,0.14%
4/21/2021,84.39,-0.14%
4/20/2021,84.51,0.00%
4/19/2021,84.51,0.27%
4/16/2021,84.28,-0.40%
4/15/2021,84.62,0.00%
4/13/2021,84.62,0.32%
4/12/2021,84.35,0.23%
4/9/2021,84.16,-0.32%
4/8/2021,84.43,-0.22%
4/7/2021,84.62,0.00%
4/6/2021,84.62,0.27%
4/5/2021,84.39,0.23%
4/2/2021,84.2,-0.40%
4/1/2021,84.54,0.20%
3/31/2021,84.37,-0.09%
3/30/2021,84.45,-0.20%
3/29/2021,84.62,0.70%
3/26/2021,84.03,-0.50%
3/25/2021,84.45,-0.13%
3/24/2021,84.56,0.23%
3/23/2021,84.37,-0.02%
3/22/2021,84.39,0.30%
3/19/2021,84.14,-0.05%
3/18/2021,84.18,-0.72%
3/16/2021,84.79,0.40%
3/15/2021,84.45,-0.18%
